stock_code,expiry_date,type,strike_price,volume,turnover,open_interest,update_time,stock_close_price,last_done,prev_close,open,high,low,implied_volatility
SPY.US,2025-09-15,call,500.00,1,16002.00,13,2025-09-15,660.810,160.02,158.54,160.02,160.02,160.02,2.930
SPY.US,2025-09-15,call,501.00,1,15905.00,0,2025-09-15,660.810,159.05,157.78,159.05,159.05,159.05,3.203
SPY.US,2025-09-15,call,502.00,3,47407.00,0,2025-09-15,660.810,158.02,158.03,158.03,158.03,158.02,2.891
SPY.US,2025-09-15,call,503.00,3,47113.00,0,2025-09-15,660.810,157.04,157.05,157.05,157.05,157.04,3.086
SPY.US,2025-09-15,call,504.00,0,0,0,2025-09-15,660.810,154.49,154.49,0,0,0,1.453
SPY.US,2025-09-15,call,505.00,3,46451.00,0,2025-09-15,660.810,154.84,154.83,154.83,154.84,154.83,2.656
SPY.US,2025-09-15,call,506.00,3,46157.00,0,2025-09-15,660.810,153.86,153.85,153.85,153.86,153.85,2.891
SPY.US,2025-09-15,call,507.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,508.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,509.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,510.00,0,0,0,2025-09-15,660.810,147.70,147.70,0,0,0,0.967
SPY.US,2025-09-15,call,511.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,512.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,513.00,1,14804.00,0,2025-09-15,660.810,148.04,148.04,148.04,148.04,148.04,3.345
SPY.US,2025-09-15,call,514.00,1,14707.00,0,2025-09-15,660.810,147.07,147.07,147.07,147.07,147.07,3.418
SPY.US,2025-09-15,call,515.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,516.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,517.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,518.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,519.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,520.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,521.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,522.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
SPY.US,2025-09-15,call,523.00,0,0,0,2025-09-15,660.810,0,0,0,0,0,0.000
