date,stock_close_price,max_pain_price,max_pain_volume,total_volume,surrounding_avg_volume,relative_deviation,z_score_deviation,percentile_deviation,volume_concentration_index
2025-09-15,660.81,660.0,1239256,4130799,14385.786069651742,86.14447580409491,10.037100336061757,100.0,0.3000039459678382
2025-09-17,659.16,659.0,470825,3949612,16805.73429951691,28.0157350823721,6.74796319698915,99.51923076923077,0.11920791206832469
2025-09-18,662.31,663.0,1107493,4928666,18109.824644549764,61.154264148731286,9.401572382989412,100.0,0.22470441291822169
2025-09-19,663.7,662.0,1004591,4750467,12444.770764119601,80.7239457472698,10.50075234450359,100.0,0.21147205106361122
2025-09-22,666.785,666.0,777053,4244001,25306.189781021898,30.70604491327819,5.915729108387382,100.0,0.18309444319169577
2025-09-23,663.28,666.0,828994,5156065,37302.33620689655,22.223648283099585,5.262286343370617,100.0,0.16078036254391673
2025-09-24,661.1,661.0,861299,4998156,33632.9837398374,25.608759741997364,5.692593060398857,100.0,0.172323352852532
2025-09-25,658.05,658.0,944624,5714692,36412.73282442748,25.942134158255186,5.935970154542984,100.0,0.16529744735149332
2025-09-26,661.82,661.0,918646,5478563,24917.579234972676,36.86738552478039,7.023865433773061,100.0,0.16768010151567117
2025-09-29,663.68,664.0,1160556,4984914,23177.927272727273,50.07160417513214,7.697792305825005,100.0,0.23281364533069177
2025-09-30,666.18,663.0,1037218,5235515,17714.333333333332,58.552471633140776,9.236501620335794,100.0,0.19811193359201532
2025-10-01,668.45,666.0,710983,5266635,27610.012121212123,25.75091227336943,5.561401642452628,99.3975903614458,0.13499758384623198
2025-10-03,669.21,671.0,1093205,5984699,23745.11650485437,46.03915081976999,7.395510452033394,100.0,0.18266666377039179
2025-10-09,671.08,671.0,1085525,5493720,35265.56,30.7814479622612,5.995985479065441,99.20634920634922,0.1975937980093634
2025-10-10,653.02,660.0,586801,7997143,37237.89949748744,15.75816595239464,5.158864607053437,100.0,0.07337632952168043
2025-10-13,663.04,663.0,803754,4653270,30551.714285714286,26.307983653009885,6.462305227498199,100.0,0.1727288551921552
2025-10-14,662.16,660.0,543069,6331264,45938.055555555555,11.821767234863373,4.03111770840234,99.21259842519686,0.08577576294401876
2025-10-15,665.17,665.0,771709,7484793,50097.64179104478,15.404098325002337,4.763403655007893,100.0,0.10310358616464076
2025-10-16,660.64,665.0,645405,7710776,52726.649253731346,12.24058439394053,4.145939265368173,100.0,0.0837016922810363
2025-10-17,664.39,662.0,553163,6683676,30051.53431372549,18.40714667761083,5.062899188304792,99.02439024390245,0.08276328774764068
