stock_code,expiry_date,stock_close_price,max_pain_price_volume,max_pain_price_open_interest
NVDA.US,2025-09-26,178.19,175.0,175.0
NVDA.US,2025-10-10,183.16,190.0,190.0
AAPL.US,2025-09-26,255.46,255.0,252.5
AAPL.US,2025-10-10,245.27,250.0,250.0
HIMS.US,2025-09-26,58.4,56.0,55.0
HIMS.US,2025-10-03,52.54,55.0,56.0
HIMS.US,2025-10-10,53.95,55.0,55.0
HOOD.US,2025-09-26,121.78,122.0,125.0
HOOD.US,2025-10-03,148.67,148.0,126.0
HOOD.US,2025-10-10,138.96,145.0,145.0
CRWV.US,2025-09-26,120.34,120.0,125.0
CRWV.US,2025-10-03,134.79,135.0,130.0
CRWV.US,2025-10-10,138.43,139.0,135.0
AMZN.US,2025-09-26,219.78,220.0,220.0
AMZN.US,2025-10-03,219.51,220.0,220.0
AMZN.US,2025-10-10,216.37,220.0,220.0
LMND.US,2025-09-26,51.43,50.0,55.0
LMND.US,2025-10-03,54.52,52.0,52.0
LMND.US,2025-10-10,48.04,53.0,53.0
FIG.US,2025-09-26,52.91,55.0,55.0
FIG.US,2025-10-03,53.04,53.0,53.0
FIG.US,2025-10-10,61.06,66.0,56.0
GOOG.US,2025-09-26,247.18,247.5,250.0
GOOG.US,2025-10-03,246.45,245.0,245.0
GOOG.US,2025-10-10,237.49,240.0,245.0
ORCL.US,2025-09-26,283.46,285.0,300.0
ORCL.US,2025-10-03,286.14,290.0,290.0
ORCL.US,2025-10-10,292.96,295.0,290.0
BE.US,2025-09-26,70.32,68.0,37.0
BE.US,2025-10-03,90.29,70.0,72.0
BE.US,2025-10-10,86.87,88.0,87.0
PLTR.US,2025-09-26,177.57,177.5,180.0
PLTR.US,2025-10-03,173.07,175.0,180.0
PLTR.US,2025-10-10,175.44,180.0,180.0
TSM.US,2025-09-26,273.36,272.5,270.0
TSM.US,2025-10-03,292.19,290.0,275.0
TSM.US,2025-10-10,280.66,295.0,297.5
