stock_code,timestamp,open,high,low,close,volume,turnover
HIMS.US,2024-01-02,8.8,9.85,8.7,9.64,5779123,55044003.0
HIMS.US,2024-01-03,9.49,9.63,9.05,9.05,4461292,41501516.0
HIMS.US,2024-01-04,9.05,9.27,8.43,8.47,4628924,40264697.0
HIMS.US,2024-01-05,8.38,8.54,8.09,8.35,3772387,31511108.0
HIMS.US,2024-01-08,8.36,8.84,8.34,8.81,2561892,22252638.0
HIMS.US,2024-01-09,8.68,8.825,8.51,8.54,2186385,18914365.0
HIMS.US,2024-01-10,8.5,8.78,8.4,8.63,2453517,21088609.0
HIMS.US,2024-01-11,8.58,8.78,8.405,8.76,2419390,20904122.0
HIMS.US,2024-01-12,8.78,9.02,8.55,8.57,1857877,16132333.0
HIMS.US,2024-01-16,8.46,8.625,8.33,8.46,2352892,19914078.0
HIMS.US,2024-01-17,8.25,8.5,8.24,8.41,1738620,14617404.0
HIMS.US,2024-01-18,8.47,8.55,8.14,8.42,2040424,17043915.0
HIMS.US,2024-01-19,8.46,8.46,8.201,8.32,1739051,14465250.0
HIMS.US,2024-01-22,8.45,8.825,8.44,8.69,2712259,23395560.0
HIMS.US,2024-01-23,8.82,8.862,8.6,8.75,1821640,15873799.0
HIMS.US,2024-01-24,8.9,8.97,8.625,8.94,3795785,33687954.0
HIMS.US,2024-01-25,8.97,9.215,8.89,9.09,4062207,36800322.0
HIMS.US,2024-01-26,9.13,9.21,8.82,8.82,2600850,23399502.0
HIMS.US,2024-01-29,8.8,9.04,8.7,9.02,1942856,17370511.0
HIMS.US,2024-01-30,9.0,9.01,8.625,8.86,2188506,19286173.0
HIMS.US,2024-01-31,8.78,8.93,8.55,8.58,2095424,18287827.0
HIMS.US,2024-02-01,8.6,8.92,8.59,8.91,1596356,14024888.0
HIMS.US,2024-02-02,8.78,9.025,8.64,8.87,2664790,23602469.0
HIMS.US,2024-02-05,8.83,8.83,8.505,8.56,2061130,17794341.0
HIMS.US,2024-02-06,8.61,9.45,8.584,9.42,3653409,33791640.0
HIMS.US,2024-02-07,9.42,9.648,9.3,9.44,2456626,23270813.0
HIMS.US,2024-02-08,9.43,9.9,9.39,9.85,2397624,23458770.0
HIMS.US,2024-02-09,9.87,10.075,9.81,9.87,2327344,23052122.0
HIMS.US,2024-02-12,9.9,10.1,9.812,9.95,2309813,23043666.0
HIMS.US,2024-02-13,9.5,9.8,9.141,9.48,2980397,28460825.0
HIMS.US,2024-02-14,9.67,10.01,9.66,9.99,2452806,24341020.0
HIMS.US,2024-02-15,10.04,10.13,9.89,10.05,1762155,17657313.0
HIMS.US,2024-02-16,9.96,10.09,9.86,10.03,1754119,17559497.0
HIMS.US,2024-02-20,9.9,9.955,9.53,9.61,3528970,34053579.0
HIMS.US,2024-02-21,9.41,9.51,9.222,9.41,2736326,25620269.0
HIMS.US,2024-02-22,9.48,9.52,9.25,9.45,3884979,36466449.0
HIMS.US,2024-02-23,9.45,9.59,9.355,9.52,3271105,31026402.0
HIMS.US,2024-02-26,9.77,10.285,9.67,10.25,9742936,102480252.0
