stock_code,timestamp,open,high,low,close,volume,turnover
NVDA.US,2023-01-03,148.51,149.96,140.96,143.15,40127658,5765590265.0
NVDA.US,2023-01-04,145.67,148.53,142.41,147.49,43132360,6303899683.0
NVDA.US,2023-01-05,144.91,145.64,141.48,142.65,38916811,5570569599.0
NVDA.US,2023-01-06,144.74,150.1,140.34,148.59,40504362,5912922362.0
NVDA.US,2023-01-09,152.84,160.56,151.41,156.28,50423056,7960665713.0
NVDA.US,2023-01-10,155.07,159.62,154.72,159.09,38410126,6048428494.0
NVDA.US,2023-01-11,158.395,160.28,155.63,160.01,35328493,5590289920.0
NVDA.US,2023-01-12,161.0,166.37,154.92,165.11,55140906,8934559181.0
NVDA.US,2023-01-13,162.78,169.22,161.65,168.99,44728706,7458824550.0
NVDA.US,2023-01-17,168.99,177.28,168.99,177.02,51110216,8950959187.0
NVDA.US,2023-01-18,176.67,178.73,172.82,173.77,43962355,7703962503.0
NVDA.US,2023-01-19,170.36,171.97,167.31,167.65,45293160,7668669589.0
NVDA.US,2023-01-20,170.11,178.56,168.25,178.39,56496712,9844130952.0
NVDA.US,2023-01-23,180.64,192.45,178.175,191.93,65516259,12330283490.0
NVDA.US,2023-01-24,188.27,194.95,188.2,192.65,49620410,9502170528.0
NVDA.US,2023-01-25,189.125,193.7,185.8,193.23,44953711,8537133753.0
NVDA.US,2023-01-26,197.01,201.66,192.78,198.02,48953542,9615482374.0
NVDA.US,2023-01-27,194.62,206.28,194.05,203.65,54214198,10934935736.0
NVDA.US,2023-01-30,199.5,201.4,191.5,191.62,48861115,9554459617.0
NVDA.US,2023-01-31,191.695,196.87,189.5,195.37,49801658,9663945703.0
NVDA.US,2023-02-01,196.91,211.92,196.11,209.43,66047704,13450056396.0
NVDA.US,2023-02-02,210.0,219.49,207.0,217.09,56427580,12106620441.0
NVDA.US,2023-02-03,210.0,217.45,207.89,211.0,42936595,9150921452.0
NVDA.US,2023-02-06,208.06,215.7,207.86,210.89,45219709,9585899378.0
NVDA.US,2023-02-07,213.82,222.59,211.5,221.73,66414961,14410292923.0
NVDA.US,2023-02-08,223.87,228.78,220.08,222.05,55965122,12525918759.0
NVDA.US,2023-02-09,226.06,230.2,221.2,223.37,52387578,11874440391.0
NVDA.US,2023-02-10,216.9,220.776,208.11,212.65,55073675,11739048160.0
NVDA.US,2023-02-13,215.38,220.48,209.62,217.88,47491862,10302873892.0
NVDA.US,2023-02-14,215.78,230.488,213.66,229.71,67547350,15244257347.0
NVDA.US,2023-02-15,225.49,228.55,221.06,227.64,42118826,9496433113.0
NVDA.US,2023-02-16,221.33,225.5,219.268,220.02,41202628,9166026962.0
NVDA.US,2023-02-17,216.31,217.4,209.75,213.88,46588764,9942788154.0
NVDA.US,2023-02-21,210.0,214.938,206.18,206.55,41001455,8585897101.0
NVDA.US,2023-02-22,207.07,211.04,204.21,207.54,51318432,10777910350.0
NVDA.US,2023-02-23,234.4,238.88,230.25,236.64,111799541,26295845266.0
NVDA.US,2023-02-24,232.25,234.74,229.47,232.86,58971591,13686469478.0
NVDA.US,2023-02-27,236.7,238.799,234.54,235.01,45299367,10713232481.0
NVDA.US,2023-02-28,233.72,238.25,232.06,232.16,45596280,10701973109.0
NVDA.US,2023-03-01,231.92,232.556,225.08,226.98,46002562,10495438832.0
