stock_code,timestamp,open,high,low,close,volume,turnover
QQQ.US,2023-01-03,268.65,270.155,262.13,264.48,42335325,11214096052.0
QQQ.US,2023-01-04,266.64,267.45,262.53,265.74,47754861,12669330029.0
QQQ.US,2023-01-05,264.04,264.21,261.26,261.58,45396744,11923253547.0
QQQ.US,2023-01-06,263.35,269.94,260.34,268.8,54659739,14528203466.0
QQQ.US,2023-01-09,270.83,275.29,269.92,270.54,45568676,12425635323.0
QQQ.US,2023-01-10,269.49,272.94,268.97,272.83,35247763,9559275821.0
QQQ.US,2023-01-11,273.92,277.66,273.12,277.55,44077036,12143678320.0
QQQ.US,2023-01-12,278.12,280.1,273.74,279.05,60599953,16833170437.0
QQQ.US,2023-01-13,276.5,281.219,276.16,280.97,44802936,12501031121.0
QQQ.US,2023-01-17,280.77,282.85,279.581,281.54,36269738,10201942472.0
QQQ.US,2023-01-18,283.11,284.69,277.67,277.88,47754549,13395375698.0
QQQ.US,2023-01-19,276.22,277.375,273.89,275.15,44150436,12170389944.0
QQQ.US,2023-01-20,276.79,283.02,275.71,282.68,60613606,16949393097.0
QQQ.US,2023-01-23,283.54,290.21,282.73,288.96,52799905,15186204305.0
QQQ.US,2023-01-24,287.31,289.55,286.78,288.37,44875146,12943891439.0
QQQ.US,2023-01-25,283.77,288.36,281.18,287.73,50872022,14496971086.0
QQQ.US,2023-01-26,291.22,293.52,288.519,293.34,51596335,15022283189.0
QQQ.US,2023-01-27,292.0,298.26,291.88,296.26,56441939,16681227770.0
QQQ.US,2023-01-30,292.93,294.38,289.89,290.27,49405833,14421563244.0
QQQ.US,2023-01-31,290.31,294.72,290.2,294.62,46705106,13667581245.0
QQQ.US,2023-02-01,294.41,303.43,292.3,300.92,67562173,20081348104.0
QQQ.US,2023-02-02,307.57,313.68,306.73,311.72,83070628,25699320366.0
QQQ.US,2023-02-03,304.94,312.39,304.54,306.18,76575060,23491011997.0
QQQ.US,2023-02-06,303.51,305.91,302.22,303.59,40802348,12406988188.0
QQQ.US,2023-02-07,303.46,311.03,302.32,309.88,67583981,20684072910.0
QQQ.US,2023-02-08,308.54,309.5,303.67,304.37,56720860,17386058646.0
QQQ.US,2023-02-09,308.84,308.99,300.2,301.68,49137818,14963043539.0
QQQ.US,2023-02-10,299.48,301.57,297.25,299.7,50050104,14988305795.0
QQQ.US,2023-02-13,301.13,305.1,299.93,304.5,39636720,12027503086.0
QQQ.US,2023-02-14,302.89,307.72,300.91,306.75,64079057,19527775054.0
QQQ.US,2023-02-15,304.9,309.27,304.2,309.1,43427298,13331932900.0
QQQ.US,2023-02-16,304.38,308.43,303.15,303.3,59498630,18208032282.0
QQQ.US,2023-02-17,301.07,301.93,298.1,301.16,58230729,17485338927.0
QQQ.US,2023-02-21,297.26,298.73,293.89,294.03,46526708,13769662280.0
QQQ.US,2023-02-22,294.62,296.36,292.56,294.25,51389237,15128778748.0
QQQ.US,2023-02-23,297.97,298.13,292.55,296.82,69294443,20487123626.0
QQQ.US,2023-02-24,291.76,292.97,290.05,291.85,74331958,21673789972.0
QQQ.US,2023-02-27,295.07,296.49,293.34,293.94,48995009,14426014148.0
QQQ.US,2023-02-28,293.3,296.124,292.96,293.56,48243141,14203905512.0
QQQ.US,2023-03-01,293.26,293.93,290.2,291.2,58286972,17008595726.0
QQQ.US,2023-03-02,288.66,294.43,288.37,293.61,53738557,15646450094.0
QQQ.US,2023-03-03,295.39,299.92,294.87,299.68,60511540,18013931263.0
QQQ.US,2023-03-06,300.94,304.0,299.82,300.02,56736294,17109580282.0
QQQ.US,2023-03-07,300.07,301.01,295.72,296.34,65955756,19646039262.0
QQQ.US,2023-03-08,296.77,298.43,294.88,297.82,50876265,15103211200.0
QQQ.US,2023-03-09,298.33,300.98,291.83,292.66,71456691,21178410590.0
QQQ.US,2023-03-10,292.83,294.35,287.38,288.55,98593561,28624521671.0
QQQ.US,2023-03-13,286.73,294.47,285.19,290.69,97123603,28265188724.0
QQQ.US,2023-03-14,294.31,297.93,293.45,297.37,73602545,21759924587.0
QQQ.US,2023-03-15,294.71,299.27,293.24,298.93,83631535,24772868993.0
QQQ.US,2023-03-16,298.0,307.18,297.19,306.81,98556824,29952805510.0
QQQ.US,2023-03-17,306.72,309.15,303.37,305.36,89923732,27489419867.0
QQQ.US,2023-03-20,304.26,306.3,302.01,305.97,56359491,17164766451.0
QQQ.US,2023-03-21,307.94,310.8,306.395,310.34,49757048,15350629396.0
QQQ.US,2023-03-22,310.27,315.25,305.95,306.12,75791914,23565260193.0
QQQ.US,2023-03-23,309.92,314.15,307.01,309.75,74575981,23147985877.0
QQQ.US,2023-03-24,309.32,310.99,306.95,310.89,57245803,17688398308.0
QQQ.US,2023-03-27,311.6,312.7,307.89,308.76,50287407,15585057239.0
QQQ.US,2023-03-28,308.17,308.2,304.774,307.12,48585917,14882787668.0
