stock_code,timestamp,open,high,low,close,volume,turnover
SPY.US,2015-01-02,206.38,206.88,204.18,205.43,121465865,0.0
SPY.US,2015-01-05,204.17,204.37,201.35,201.72,169632646,0.0
SPY.US,2015-01-06,202.09,202.72,198.855,199.82,209151408,0.0
SPY.US,2015-01-07,201.42,202.72,200.88,202.31,125346709,0.0
SPY.US,2015-01-08,204.01,206.16,203.99,205.9,147217784,0.0
SPY.US,2015-01-09,206.4,206.42,203.51,204.25,158567288,0.0
SPY.US,2015-01-12,204.41,204.6,201.92,202.65,144396067,0.0
SPY.US,2015-01-13,204.12,205.48,200.51,202.08,214553306,0.0
SPY.US,2015-01-14,199.65,201.1,198.57,200.86,192991092,0.0
SPY.US,2015-01-15,201.63,202.01,198.88,199.02,176613906,0.0
SPY.US,2015-01-16,198.77,201.82,198.55,201.63,211879605,0.0
SPY.US,2015-01-20,202.4,202.72,200.17,202.055,130991069,0.0
SPY.US,2015-01-21,201.5,203.66,200.94,203.08,122942707,0.0
SPY.US,2015-01-22,203.99,206.26,202.33,206.1,174356029,0.0
SPY.US,2015-01-23,205.79,206.1,204.81,204.97,117516753,0.0
SPY.US,2015-01-26,204.71,205.56,203.85,205.45,92009711,0.0
SPY.US,2015-01-27,202.97,204.12,201.74,202.74,134044598,0.0
SPY.US,2015-01-28,204.17,204.29,199.91,200.14,168514312,0.0
SPY.US,2015-01-29,200.38,202.3,198.68,201.99,173585424,0.0
SPY.US,2015-01-30,200.57,202.17,199.13,199.45,197729724,0.0
SPY.US,2015-02-02,200.05,202.03,197.86,201.92,163106969,0.0
SPY.US,2015-02-03,203.0,204.85,202.55,204.84,124212881,0.0
SPY.US,2015-02-04,203.92,205.38,203.51,204.06,134306728,0.0
SPY.US,2015-02-05,204.86,206.3,204.77,206.12,97953181,0.0
SPY.US,2015-02-06,206.56,207.24,204.92,205.55,125672026,0.0
SPY.US,2015-02-09,204.77,205.64,204.135,204.63,87219016,0.0
SPY.US,2015-02-10,205.88,207.12,204.68,206.81,96164183,0.0
SPY.US,2015-02-11,206.61,207.45,205.83,206.93,91087785,0.0
SPY.US,2015-02-12,207.89,208.99,206.973,208.92,97545949,0.0
SPY.US,2015-02-13,209.07,209.84,208.76,209.78,93670430,0.0
SPY.US,2015-02-17,209.4,210.32,209.1,210.11,76968199,0.0
SPY.US,2015-02-18,209.66,210.22,209.34,210.13,80652941,0.0
SPY.US,2015-02-19,209.41,210.42,209.24,209.98,91462491,0.0
SPY.US,2015-02-20,209.48,211.33,208.73,211.239,140896392,0.0
SPY.US,2015-02-23,210.94,211.21,210.48,211.209,74411054,0.0
SPY.US,2015-02-24,211.12,212.05,210.76,211.81,72472263,0.0
SPY.US,2015-02-25,211.66,212.24,211.22,211.63,73061687,0.0
SPY.US,2015-02-26,211.52,211.71,210.65,211.38,72697868,0.0
SPY.US,2015-02-27,211.26,211.58,210.6,210.66,108075972,0.0
SPY.US,2015-03-02,210.78,212.06,210.72,211.99,87491428,0.0
SPY.US,2015-03-03,211.47,212.054,210.08,211.12,110325809,0.0
SPY.US,2015-03-04,210.4,210.49,209.06,210.23,114497192,0.0
SPY.US,2015-03-05,210.62,210.8,209.85,210.46,76872957,0.0
SPY.US,2015-03-06,209.42,209.94,207.1,207.5,188127982,0.0
SPY.US,2015-03-09,207.74,208.79,207.546,208.36,89818893,0.0
SPY.US,2015-03-10,206.71,206.81,204.93,204.98,157121263,0.0
SPY.US,2015-03-11,205.29,205.5,204.4,204.5,110145718,0.0
SPY.US,2015-03-12,205.26,207.175,205.2,207.1,93993523,0.0
SPY.US,2015-03-13,206.77,207.934,204.58,205.827,162410893,0.0
SPY.US,2015-03-16,206.71,208.69,205.864,208.58,136099192,0.0
SPY.US,2015-03-17,207.69,208.42,206.98,207.96,94510422,0.0
SPY.US,2015-03-18,207.39,211.27,206.62,210.46,228808524,0.0
SPY.US,2015-03-19,209.96,210.47,209.03,209.5,117917302,0.0
SPY.US,2015-03-20,209.71,211.02,209.49,210.41,177715081,0.0
SPY.US,2015-03-23,210.42,211.11,210.0,210.0,71784536,0.0
SPY.US,2015-03-24,209.85,210.4,208.74,208.82,77805321,0.0
SPY.US,2015-03-25,209.07,209.35,205.71,205.76,159521708,0.0
SPY.US,2015-03-26,204.96,206.37,204.12,205.27,153067241,0.0
SPY.US,2015-03-27,205.13,205.95,204.9,205.74,118938966,0.0
SPY.US,2015-03-30,206.98,208.61,206.96,208.25,96180365,0.0
SPY.US,2015-03-31,207.26,208.1,206.36,206.43,126768703,0.0
SPY.US,2015-04-01,206.39,206.42,204.51,205.7,137303584,0.0
SPY.US,2015-04-02,205.62,206.98,205.4,206.435,86900906,0.0
SPY.US,2015-04-06,205.37,208.45,205.21,207.83,114368155,0.0
SPY.US,2015-04-07,207.855,208.76,207.24,207.28,81236337,0.0
SPY.US,2015-04-08,207.55,208.51,207.08,207.975,89351939,0.0
SPY.US,2015-04-09,207.78,209.18,207.19,208.9,85548854,0.0
SPY.US,2015-04-10,209.2,210.09,208.96,210.04,72722915,0.0
SPY.US,2015-04-13,209.87,210.63,209.03,209.09,74436594,0.0
SPY.US,2015-04-14,208.85,209.71,208.1,209.49,75099866,0.0
SPY.US,2015-04-15,210.05,211.04,209.95,210.43,99529320,0.0
SPY.US,2015-04-16,210.03,210.98,209.793,210.37,68934864,0.0
SPY.US,2015-04-17,208.94,209.23,207.01,207.95,191113230,0.0
SPY.US,2015-04-20,209.06,210.25,208.96,209.85,92189481,0.0
SPY.US,2015-04-21,210.67,210.86,209.24,209.6,72559831,0.0
SPY.US,2015-04-22,210.01,210.85,208.9,210.63,78264616,0.0
SPY.US,2015-04-23,210.15,211.94,210.01,211.16,102585942,0.0
SPY.US,2015-04-24,211.66,211.97,211.11,211.65,61327387,0.0
SPY.US,2015-04-27,212.33,212.48,210.54,210.77,79358126,0.0
SPY.US,2015-04-28,210.74,211.5,209.33,211.44,86863531,0.0
SPY.US,2015-04-29,210.37,211.29,209.6,210.57,125684903,0.0
SPY.US,2015-04-30,209.88,210.35,207.62,208.46,161304890,0.0
SPY.US,2015-05-01,209.4,210.77,209.28,210.72,103399711,0.0
SPY.US,2015-05-04,211.23,212.02,211.1,211.32,70927235,0.0
SPY.US,2015-05-05,211.03,211.46,208.73,208.9,113326156,0.0
SPY.US,2015-05-06,209.56,209.93,206.76,208.04,135060151,0.0
SPY.US,2015-05-07,207.92,209.38,207.52,208.87,88244940,0.0
SPY.US,2015-05-08,210.88,211.86,210.78,211.62,155877260,0.0
SPY.US,2015-05-11,211.57,211.89,210.52,210.605,75708065,0.0
SPY.US,2015-05-12,209.61,210.63,208.62,209.98,119727592,0.0
SPY.US,2015-05-13,210.47,211.22,209.74,210.02,94667943,0.0
SPY.US,2015-05-14,211.24,212.32,210.91,212.21,95934006,0.0
SPY.US,2015-05-15,212.44,212.61,211.86,212.44,76510099,0.0
SPY.US,2015-05-18,212.24,213.4,212.16,213.1,74549685,0.0
SPY.US,2015-05-19,213.24,213.57,212.69,213.03,72114610,0.0
SPY.US,2015-05-20,213.15,213.78,212.504,212.88,76857530,0.0
SPY.US,2015-05-21,212.71,213.75,212.51,213.5,64764585,0.0
SPY.US,2015-05-22,213.04,213.54,212.91,212.99,57433495,0.0
SPY.US,2015-05-26,212.4,212.909,210.2,210.7,124308584,0.0
SPY.US,2015-05-27,211.25,212.98,210.761,212.7,93213981,0.0
SPY.US,2015-05-28,212.33,212.59,211.63,212.46,74974560,0.0
SPY.US,2015-05-29,212.38,212.43,210.82,211.14,124919611,0.0
SPY.US,2015-06-01,211.94,212.34,210.62,211.57,93338750,0.0
SPY.US,2015-06-02,211.02,212.19,210.27,211.36,91531012,0.0
SPY.US,2015-06-03,212.0,212.67,211.33,211.92,87820909,0.0
SPY.US,2015-06-04,211.07,211.859,209.75,210.129,151882820,0.0
SPY.US,2015-06-05,209.95,210.58,208.98,209.77,121704676,0.0
SPY.US,2015-06-08,209.64,209.82,208.39,208.48,89063330,0.0
SPY.US,2015-06-09,208.45,209.1,207.69,208.45,105034690,0.0
SPY.US,2015-06-10,209.37,211.41,209.299,210.95,134551285,0.0
SPY.US,2015-06-11,211.48,212.09,211.2,211.63,73876447,0.0
SPY.US,2015-06-12,210.64,211.482,209.68,210.01,135382369,0.0
SPY.US,2015-06-15,208.64,209.45,207.79,209.11,124384184,0.0
SPY.US,2015-06-16,208.93,210.35,208.72,210.25,85308227,0.0
SPY.US,2015-06-17,210.59,211.32,209.36,210.59,126708635,0.0
SPY.US,2015-06-18,211.31,213.34,210.632,212.78,165867949,0.0
SPY.US,2015-06-19,211.46,211.55,210.36,210.81,130478689,0.0
SPY.US,2015-06-22,211.905,212.59,211.64,211.89,70696027,0.0
SPY.US,2015-06-23,212.14,212.44,211.57,212.04,68476797,0.0
SPY.US,2015-06-24,211.72,212.17,210.47,210.5,92307318,0.0
SPY.US,2015-06-25,211.1,211.25,209.77,209.86,97107361,0.0
SPY.US,2015-06-26,210.29,210.58,209.16,209.82,104174840,0.0
SPY.US,2015-06-29,208.045,209.828,205.33,205.42,202621332,0.0
SPY.US,2015-06-30,207.26,207.32,205.28,205.85,182925106,0.0
SPY.US,2015-07-01,207.73,208.03,206.56,207.5,135979873,0.0
SPY.US,2015-07-02,208.07,208.27,206.81,207.31,104373652,0.0
SPY.US,2015-07-06,205.77,207.65,205.53,206.72,117975369,0.0
SPY.US,2015-07-07,206.96,208.17,204.11,208.02,173820249,0.0
SPY.US,2015-07-08,206.45,206.765,204.25,204.53,164020059,0.0
SPY.US,2015-07-09,207.04,207.35,204.77,204.9,144113107,0.0
SPY.US,2015-07-10,207.29,207.98,204.952,207.48,129456890,0.0
SPY.US,2015-07-13,208.99,209.9,208.94,209.77,106069400,0.0
SPY.US,2015-07-14,209.72,211.05,209.65,210.68,81709575,0.0
SPY.US,2015-07-15,210.73,211.28,210.04,210.61,97914141,0.0
SPY.US,2015-07-16,211.87,212.3,211.58,212.3,106683266,0.0
SPY.US,2015-07-17,212.29,212.55,211.8,212.48,89029973,0.0
SPY.US,2015-07-20,212.75,213.18,212.21,212.59,70446821,0.0
SPY.US,2015-07-21,212.43,212.74,211.39,211.75,77965048,0.0
SPY.US,2015-07-22,210.93,211.77,210.89,211.37,88667920,0.0
SPY.US,2015-07-23,211.53,211.65,209.75,210.18,90509128,0.0
SPY.US,2015-07-24,210.3,210.37,207.6,208.0,117754979,0.0
SPY.US,2015-07-27,206.94,207.55,206.26,206.79,132361082,0.0
SPY.US,2015-07-28,207.79,209.5,206.8,209.33,123544845,0.0
SPY.US,2015-07-29,209.48,211.04,209.31,210.77,105791255,0.0
SPY.US,2015-07-30,210.16,211.02,209.42,210.82,91304374,0.0
SPY.US,2015-07-31,211.42,211.45,210.16,210.5,103266857,0.0
